,Provisional Licences - Male,Provisional Licences - Female,Provisional - Total,Full Licences - Male,Full Licences - Female,Full - Total
Age,,,,,,
15,931,279,1210,0,0,0
16,41095,25664,66759,955,86,1041
17,172755,167957,340712,41254,32168,73422
18,158413,157488,315901,124134,110611,234745
19,148565,148673,297238,162269,146669,308938
20,141643,141819,283462,189823,171826,361649
21,135870,136999,272869,210169,192901,403070
22,128652,129994,258646,227032,209896,436928
23,121112,121146,242258,241660,224131,465791
24,113743,113149,226892,257222,240340,497562
25,107302,107258,214560,277074,259124,536198
26,103528,103500,207028,292790,271074,563864
27,100027,100790,200817,314958,290531,605489
28,96306,98595,194901,330931,302008,632939
29,94795,97836,192631,348959,315786,664745
30,90136,94872,185008,351807,317025,668832
31,89771,94847,184618,365245,329903,695148
32,86416,91278,177694,368436,332244,700680
33,82518,88196,170714,367561,329923,697484
34,81239,87087,168326,376113,335969,712082
35,77158,84344,161502,373587,334823,708410
36,74655,81407,156062,377492,336359,713851
37,74009,80805,154814,382379,340273,722652
38,72927,80820,153747,389851,346843,736694
39,73736,82306,156042,401845,357606,759451
40,69712,77535,147247,396560,348952,745512
41,64014,72438,136452,376289,329613,705902
42,59968,69417,129385,367018,319167,686185
43,59206,69776,128982,376178,327215,703393
44,58859,69825,128684,381168,330521,711689
45,57822,70374,128196,397112,344991,742103
46,56900,70781,127681,408441,355922,764363
47,58947,73183,132130,429012,375167,804179
48,59032,75826,134858,452856,398110,850966
49,61553,76390,137943,448120,390947,839067
50,60150,76516,136666,453067,397030,850097
51,61271,79042,140313,460308,401525,861833
52,59808,78058,137866,462093,402837,864930
53,58838,78303,137141,465565,403497,869062
54,57335,77342,134677,471647,409045,880692
55,54456,76049,130505,472681,407196,879877
56,50164,72601,122765,460037,394657,854694
57,47389,70084,117473,451275,382118,833393
58,42450,64824,107274,434137,365121,799258
59,43346,63301,106647,424333,354848,779181
60,37079,58057,95136,405496,339846,745342
61,35503,55367,90870,396406,331472,727878
62,32098,52633,84731,384600,319770,704370
63,29817,49976,79793,370006,307596,677602
64,27319,46230,73549,351450,292233,643683
65,25561,45390,70951,350099,290205,640304
66,23397,43336,66733,348683,288783,637466
67,22287,42127,64414,341355,282370,623725
68,19563,39917,59480,335976,275476,611452
69,20438,40370,60808,339605,275821,615426
70,1207,1320,2527,270321,226505,496826
71,1235,1332,2567,282361,235312,517673
72,1285,1436,2721,314822,259276,574098
73,839,841,1680,260219,211930,472149
74,700,761,1461,215674,174842,390516
75,694,707,1401,229168,184573,413741
76,506,516,1022,194692,153086,347778
77,489,434,923,177793,137989,315782
78,413,334,747,149306,115057,264363
79,331,207,538,137323,101912,239235
80,282,212,494,135994,101183,237177
81,232,196,428,130231,95252,225483
82,156,124,280,107539,73762,181301
83,151,107,258,99537,68325,167862
84,106,69,175,89504,60692,150196
85,82,50,132,69050,43662,112712
86,44,32,76,60329,37774,98103
87,33,42,75,54815,34605,89420
88,33,22,55,37843,21249,59092
89,16,14,30,33291,19079,52370
90,23,13,36,27323,15560,42883
91,5,6,11,15499,7441,22940
92,5,2,7,12482,6184,18666
93,9,1,10,10552,5195,15747
94,3,0,3,4589,1993,6582
95,3,3,6,3550,1614,5164
96,2,2,4,2755,1281,4036
97,1,0,1,948,385,1333
98,3,0,3,740,277,1017
99,1,0,1,601,272,873
100,1,0,1,108,45,153
101,0,0,0,68,34,102
102,0,0,0,51,19,70
103,0,0,0,10,5,15
104,0,0,0,5,4,9
105,0,1,1,7,2,9
106,0,0,0,2,0,2
108,0,0,0,3,1,4
Total,3890474,4460961,8351435,22114224,18966547,41080771